
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
333 	 find progeny of 3702-125       3702-125 	IRISH COBBLER x DEODARA 	 JAP 		SHIMAKEI 31 	NATIONAL AGRICULTURAL EXPERIMENT STATION, ENIWA, HOKKAIDO 	
422 	 find progeny of 377250.7       377250.7 	866.1 x P2C6.25 	 PER 			CIP 	
334 	 find progeny of 3773-9       3773-9 	2786-27 x 3090-4 	 SU 				
335 	 find progeny of 3774C/71       3774C/71 	KARPATSKY x CARNEA 	 SU 				
423 	 find progeny of 377831,1       377831,1 	MOLINERA x KATAHDIN 	 PER 			CIP 	
424 	 find progeny of 377880.31       377880.31 	N-568.7 x N-503.79 	 PER 			CIP 	
425 	 find progeny of 377888,8       377888,8 	N-565.2 x DTO-28 	 PER 			CIP 	
426 	 find progeny of 378015.18       378015.18 	ASC77.045 x ? 	 PER 			CIP 	
427 	 find progeny of 378493.915       378493.915 	66-563.13C x I 1058 	 PER 			CIP 	
428 	 find progeny of 378493.928       378493.928 	66-563.13C x I 1058 	 PER 			CIP 	
429 	 find progeny of 378493.929       378493.929 	66-563.13C x I 1058 	 PER 			CIP 	
430 	 find progeny of 378502       378502 	MONSERRATE x I 1058 	 PER 			CIP 	
431 	 find progeny of 378972.557       378972.557 	I 832 x 702729 	 PER 			CIP 	
432 	 find progeny of 378979.46       378979.46 	TOLLOCAN x pollenmixture 	 PER 			CIP 	
433 	 find progeny of 380086,3       380086,3 	(ANITA x CURIPAMBA) x pollenmixture 	 PER 			CIP 	
337 	 find progeny of 3804-22       3804-22 	3000-9 x 3090-4 	 SU 				
336 	 find progeny of 3804-7       3804-7 	3000-9 x 3090-4 	 SU 				
434 	 find progeny of 380493,1       380493,1 	I 959 x pollenmixture 	 PER 			CIP 	
435 	 find progeny of 381382.10       381382.10 	378493.928 x LLT-pollenmixture 	 PER 			CIP 	
436 	 find progeny of 381397,16       381397,16 	378158.721 x pollenmixture 	 PER 			CIP 	
165 	 find progeny of 382-48       382-48 	VIRULANE x MPI 40.663/21 	 SU 				
166 	 find progeny of 382-48       382-48 	VIRULANE x MPI 40.1465/6 	 SU 				
167 	 find progeny of 382/78       382/78 	297/71 x PALMA 	 BRD 				
437 	 find progeny of 382134,26       382134,26 	378493.929 x pollenmixture 	 PER 			CIP 	
